age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
36,Self-emp-not-inc,136028,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States
26,Self-emp-not-inc,163189,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States
34,Local-gov,202729,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
41,Private,421871,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
44,Private,120277,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,Italy
26,?,211798,HS-grad,9,Separated,?,Unmarried,White,Female,0,0,40,United-States
47,Private,198901,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States
18,Private,214617,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,16,United-States
55,Self-emp-not-inc,179715,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,18,United-States
49,Local-gov,107231,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States
44,Private,110355,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
43,Private,184378,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
62,Private,273454,7th-8th,4,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Cuba
44,Private,443040,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States
39,?,71701,HS-grad,9,Divorced,?,Unmarried,White,Female,0,0,40,United-States
50,Self-emp-inc,160151,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States
35,Private,107991,11th,7,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States
52,Private,94391,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
46,Private,99835,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
44,Private,43711,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,United-States
43,Private,83756,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Male,0,0,50,United-States
51,Private,120914,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,2961,0,40,United-States
20,Private,180052,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States
47,Private,170846,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Italy
43,Private,37937,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,United-States
64,?,168340,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,?
24,Private,38455,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
27,Federal-gov,128059,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
32,Private,420895,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
37,Private,166744,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,12,United-States
26,Private,238768,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60,United-States
43,Private,176270,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States
50,Private,140592,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States
20,Self-emp-not-inc,211466,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,80,United-States
37,Private,188540,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,45,United-States
43,Private,39581,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,45,United-States
37,Private,171150,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,50,United-States
53,Private,117496,9th,5,Divorced,Other-service,Not-in-family,White,Female,0,0,36,Canada
44,Private,145160,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
25,Private,28520,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States
17,Private,103851,11th,7,Never-married,Adm-clerical,Own-child,White,Female,1055,0,20,United-States
19,Private,375077,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,50,United-States
53,State-gov,281590,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,40,United-States
44,Private,151504,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
51,Private,415287,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,1902,40,United-States
49,Private,32212,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,43,United-States
35,Private,123606,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
44,Private,202565,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,United-States
54,Private,177927,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
37,Private,256723,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States
18,Private,46247,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States
24,Private,266926,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
29,Private,112031,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,50,United-States
22,?,376277,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,35,United-States
35,Private,168817,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
56,Private,187487,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States
32,?,158784,7th-8th,4,Widowed,?,Not-in-family,White,Female,0,0,40,United-States
24,Private,67222,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,45,China
43,Private,201723,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States
73,Private,267408,HS-grad,9,Widowed,Sales,Other-relative,White,Female,0,0,15,United-States
47,Federal-gov,168191,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?
49,Private,105444,12th,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,United-States
38,Private,156728,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
31,Private,148600,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States
39,Private,19914,Some-college,10,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States
42,Private,190767,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
41,Private,233955,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,45,China
35,Private,30381,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States
38,Private,187069,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States
31,Private,367314,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
51,Local-gov,101119,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,70,United-States
38,Private,86551,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,48,United-States
40,Local-gov,218995,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States
21,Private,57711,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States
44,Private,303521,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
55,Private,199067,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
29,Private,247445,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,45,United-States
49,Private,186078,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
31,Private,77634,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,42,United-States
24,Private,180060,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,6849,0,90,United-States
46,Private,56482,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States
26,Private,314177,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States
35,Private,239755,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,38,United-States
27,Private,377680,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States
64,Self-emp-not-inc,134960,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,35,United-States
26,Private,294493,Bachelors,13,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States
21,Private,32616,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,1719,16,United-States
45,Private,182655,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,0,0,45,?
57,Local-gov,52267,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States
30,Private,117963,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
45,Private,98881,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,32,United-States
50,Private,196963,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Female,0,0,30,United-States
38,Private,166988,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
43,Self-emp-not-inc,193459,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States
42,Private,182342,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States
32,Private,496743,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States
20,Private,154781,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
27,Private,219371,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States
45,Private,99179,11th,7,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
40,Private,224910,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
38,Private,304651,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,60,United-States
37,Private,349689,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
60,Private,106850,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
53,Self-emp-not-inc,196328,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,45,United-States
25,Private,169323,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,40,United-States
47,Self-emp-not-inc,162924,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,60,Japan
40,Self-emp-not-inc,34037,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,70,United-States
51,?,167651,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States
19,Private,197384,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States
42,Private,251795,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
65,?,266081,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States
41,Private,165309,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
28,Private,215873,10th,6,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,45,United-States
46,Private,133938,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,27828,0,50,United-States
49,Private,159816,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,99999,0,20,United-States
24,Private,228424,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,United-States
32,Private,195576,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
71,Private,105200,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,6767,0,20,United-States
26,Private,167350,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,3103,0,40,United-States
29,Private,52199,HS-grad,9,Married-spouse-absent,Protective-serv,Not-in-family,White,Male,0,0,40,United-States
50,Private,171338,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States
51,Private,120173,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,50,United-States
17,?,158762,10th,6,Never-married,?,Own-child,White,Female,0,0,20,United-States
49,Private,169818,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,40,United-States
31,Private,288419,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
23,Private,207546,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
59,Local-gov,147707,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,40,United-States
17,?,228373,10th,6,Never-married,?,Own-child,White,Male,0,0,30,United-States
43,Private,193882,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,United-States
38,Private,31033,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7298,0,40,United-States
37,Private,272950,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
29,Private,183523,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States
39,Private,238415,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
31,Private,19302,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,2202,0,38,United-States
42,Local-gov,339671,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,8614,0,45,United-States
35,Local-gov,103260,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States
39,Private,79331,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,15024,0,40,United-States
40,Private,135056,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
66,Private,142723,5th-6th,3,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Female,0,0,40,Puerto-Rico
30,Federal-gov,188569,9th,5,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
43,Private,57322,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
47,Private,178309,9th,5,Never-married,Other-service,Unmarried,White,Female,0,0,50,United-States
45,Private,166107,Masters,14,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines
31,Private,53042,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,Trinadad&Tobago
33,Private,155343,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,3103,0,40,United-States
32,Private,35595,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
28,Private,429507,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States
50,Federal-gov,159670,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
63,Private,151210,7th-8th,4,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States
28,Private,186792,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
38,Private,204640,Some-college,10,Widowed,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States
52,Private,87205,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,38,United-States
38,Self-emp-inc,112847,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
41,Private,107306,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,2174,0,40,United-States
50,State-gov,211319,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States
59,Private,183606,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
32,Private,205390,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,49,United-States
73,Local-gov,232871,7th-8th,4,Married-civ-spouse,Protective-serv,Husband,White,Male,2228,0,10,United-States
52,Self-emp-inc,101017,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Male,0,0,38,United-States
57,Private,114495,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
35,Private,183898,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States
51,Private,163921,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,56,United-States
22,Private,311764,11th,7,Widowed,Sales,Own-child,Black,Female,0,0,35,United-States
49,Private,188330,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
22,Private,267174,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States
46,Local-gov,36228,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,40,United-States
48,Private,199739,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States
52,Private,185407,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?
43,State-gov,206139,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States
25,Private,282063,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico
31,Private,332379,7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
19,Private,418324,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,36,United-States
19,?,263338,Some-college,10,Never-married,?,Own-child,White,Male,0,0,45,United-States
51,Private,158948,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,84,United-States
51,Private,221532,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States
22,Self-emp-not-inc,202920,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Female,99999,0,40,Dominican-Republic
37,Local-gov,118909,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States
19,Private,286469,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States
45,Private,191914,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Female,0,0,55,United-States
21,State-gov,142766,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States
52,Private,198744,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States
46,Local-gov,272780,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,United-States
42,State-gov,219553,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States
56,Private,261232,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
23,Private,64292,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
58,Private,312131,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
70,Private,30713,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States
30,Private,246439,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States
45,Private,338105,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines
23,Private,228243,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,44,United-States
34,Local-gov,62463,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1579,40,United-States
38,Private,31603,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States
24,Private,165054,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
53,Private,121618,7th-8th,4,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States
45,Federal-gov,273194,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,3325,0,40,United-States
21,?,163665,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States
21,Private,538319,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,Puerto-Rico
34,Private,238246,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
32,Self-emp-inc,244665,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,45,United-States
21,Private,131811,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
63,?,231777,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,30,United-States
23,Private,156807,9th,5,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,36,United-States
28,Private,236861,Bachelors,13,Divorced,Craft-repair,Unmarried,White,Male,0,0,50,United-States
29,Self-emp-not-inc,229842,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Male,0,0,45,United-States
25,Local-gov,190057,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States
44,State-gov,55076,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States
18,Private,152545,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,8,United-States
26,Private,153434,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,24,United-States
47,Local-gov,171095,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States
23,Private,239322,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States
46,Private,138999,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
61,Local-gov,95450,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,50,United-States
25,Private,176520,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States
38,Local-gov,72338,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0,0,54,United-States
60,?,386261,Bachelors,13,Married-spouse-absent,?,Unmarried,Black,Female,0,0,15,United-States
23,Private,235722,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,20,United-States
36,Federal-gov,128884,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,48,United-States
46,Private,187226,9th,5,Divorced,Other-service,Not-in-family,White,Male,0,0,25,United-States
32,Self-emp-not-inc,298332,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
40,Private,173607,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
31,Private,226756,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States
31,Private,157887,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States
32,State-gov,171111,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,37,United-States
21,Private,126314,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States
63,Private,174018,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States
44,Private,144778,Some-college,10,Separated,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States
42,Self-emp-not-inc,201522,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States
23,?,22966,Bachelors,13,Never-married,?,Own-child,White,Male,0,0,35,United-States
30,Private,399088,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States
24,Private,282202,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,0,0,40,El-Salvador
42,Private,102606,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
44,Self-emp-not-inc,246862,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,Italy
27,Federal-gov,508336,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,48,United-States
27,Local-gov,263431,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States
22,Private,235733,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,45,United-States
68,Private,107910,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States
55,Self-emp-not-inc,184425,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States
